"Страна","Название","Тикер","Разбор","Инвест.идея","Новинка","Дата","Дата.идеи","Дата.новинки","Сектор","Индустрия","Оценка"
"🇨🇳 Китай","JD.com","JD","https://t.me/usamarke1/1568","https://t.me/usamarke1/1964",NA,2020-12-17,2021-03-25,NA,"Циклический потребительский сектор","Розничная торговля через Интернет","5"
"🇨🇳 Китай","Baidu","BIDU","https://t.me/usamarke1/1426",NA,NA,2020-11-18,NA,NA,"Коммуникационные услуги","Интернет-контент и информация","3"
"🇨🇳 Китай","Baozun","BZUN","https://t.me/usamarke1/2551",NA,NA,2021-08-02,NA,NA,"Циклический потребительский сектор","Розничная торговля через Интернет","4"
"🇨🇳 Китай","Vipshop","VIPS","https://t.me/usamarke1/2248",NA,NA,2021-05-28,NA,NA,"Циклический потребительский сектор","Розничная торговля через Интернет","4"
"🇨🇳 Китай","Hello Group","MOMO","https://t.me/usamarke1/1600",NA,NA,2020-12-22,NA,NA,"Коммуникационные услуги","Интернет-контент и информация","2"
"🇨🇳 Китай","Xpeng","XPEV","https://t.me/usamarke1/2734",NA,NA,2021-09-10,NA,NA,"Циклический потребительский сектор","Автопроизводители","4"
"🇨🇳 Китай","NetEase","NTES","https://t.me/usamarke1/2614",NA,NA,2021-08-16,NA,NA,"Коммуникационные услуги","Интернет-контент и информация","4"
"🇨🇳 Китай","Pinduoduo","PDD","https://t.me/usamarke1/2390",NA,NA,2021-06-30,NA,NA,"Циклический потребительский сектор","Розничная торговля через Интернет","4"
"🇨🇳 Китай","Li Auto","LI","https://t.me/usamarke1/2268",NA,NA,2021-06-02,NA,NA,"Циклический потребительский сектор","Автопроизводители","4"
"🇨🇳 Китай","Alibaba","BABA","https://t.me/usamarke1/1489","https://t.me/usamarke1/1627",NA,2020-12-01,2020-12-28,NA,"Циклический потребительский сектор","Розничная торговля через Интернет","4"
"🇨🇳 Китай","Nio","NIO","https://t.me/usamarke1/2584",NA,NA,2021-08-09,NA,NA,"Циклический потребительский сектор","Автопроизводители","5"
"🇨🇳 Китай","Bilibili","BILI","https://t.me/usamarke1/2226",NA,NA,2021-05-24,NA,NA,"Коммуникационные услуги","Электронные игры и мультимедиа","4"
"🇱🇺 Люксембург","Spotify","SPOT","https://t.me/usamarke1/1221","https://t.me/usamarke1/1888",NA,2020-10-08,2021-03-06,NA,"Коммуникационные услуги","Интернет-контент и информация","5"
"🇳🇱 Нидерланды","Stellantis N.V.","STLA","https://t.me/usamarke1/2767",NA,"https://t.me/usamarke1/2767",2021-09-17,NA,2021-09-17,"Циклический потребительский сектор","Автопроизводители","New"
"🇳🇱 Нидерланды","NXP Semiconductors","NXPI","https://t.me/usamarke1/1785",NA,NA,2021-02-11,NA,NA,"Технологии","Полупроводники","3"
"🇷🇺 Россия","Петропавловск","POGR","https://t.me/usamarke1/1735",NA,NA,2021-01-29,NA,NA,"Базовые материалы","Золото","3"
"🇷🇺 Россия","Совкомфлот","FLOT","https://t.me/usamarke1/1708",NA,NA,2021-01-21,NA,NA,"Энергетика","Биржевые торгуемые фонды","3"
"🇷🇺 Россия","Татнефть","TATN","https://t.me/usamarke1/2182",NA,NA,2021-05-13,NA,NA,"Энергетика","Нефтегазовая промышленность","3"
"🇷🇺 Россия","Глобалтранс","GLTR","https://t.me/usamarke1/1319",NA,NA,2020-10-28,NA,NA,"Промышленность","Биржевые торгуемые фонды","3"
"🇷🇺 Россия","Магнит","MGNT","https://t.me/usamarke1/1836",NA,NA,2021-02-23,NA,NA,"Консервативный потребительский сектор","Дисконтные магазины","3"
"🇷🇺 Россия","Ростелеком","RTKM","https://t.me/usamarke1/1462",NA,NA,2020-11-25,NA,NA,"Коммуникационные услуги","Коммунальные услуги","3"
"🇷🇺 Россия","Fix Price","FIXP","https://t.me/usamarke1/1875",NA,NA,2021-03-04,NA,NA,"Циклический потребительский сектор","Специализированная розничная торговля","4"
"🇷🇺 Россия","М. Видео","MVID","https://t.me/usamarke1/1634",NA,NA,2020-12-29,NA,NA,"Циклический потребительский сектор","Специализированная розничная торговля","3"
"🇷🇺 Россия","Сбербанк","SBER","https://t.me/usamarke1/1771",NA,NA,2021-02-08,NA,NA,"Финансовый","Банки - диверсифицированные","4"
"🇷🇺 Россия","Русагро","AGRO","https://t.me/usamarke1/1214 ",NA,NA,2020-10-07,NA,NA,"Консервативный потребительский сектор","Фермерские продукты","3"
"🇷🇺 Россия","Русская аквакультура","AQUA","https://t.me/usamarke1/1649",NA,NA,2021-01-04,NA,NA,"Консервативный потребительский сектор","Контроль загрязнения и очистки","4"
"🇷🇺 Россия","Россети","RSTI","https://t.me/usamarke1/1234",NA,NA,2020-10-12,NA,NA,"Коммунальные услуги","Коммунальные услуги","2"
"🇷🇺 Россия","Ленэнерго","LSNGP","https://t.me/usamarke1/1208",NA,NA,2020-10-06,NA,NA,"Коммунальные услуги","Коммунальные услуги","4"
"🇷🇺 Россия","АФК Система","AFKS","https://t.me/usamarke1/1138",NA,NA,2020-09-17,NA,NA,"Финансовый","Финансы - диверсифицированные","3"
"🇷🇺 Россия","НЕФАЗ","NFAZ","https://t.me/usamarke1/2218",NA,NA,2021-05-21,NA,NA,"Циклический потребительский сектор","Автопроизводители","2"
"🇷🇺 Россия","Мать и дитя","MDMG","https://t.me/usamarke1/1418",NA,NA,2020-11-17,NA,NA,"Здравоохранение","Медицинские учреждения","4"
"🇷🇺 Россия","Mail.ru","MAIL","https://t.me/usamarke1/1308","https://t.me/usamarke1/1994",NA,2020-10-26,2021-04-01,NA,"Коммуникационные услуги","Интернет-контент и информация","4"
"🇷🇺 Россия","TCS Group","TCSG","https://t.me/usamarke1/1563",NA,NA,2020-12-16,NA,NA,"Финансовый","Банки - диверсифицированные","4"
"🇷🇺 Россия","En+ Group","ENPG","https://t.me/usamarke1/2351",NA,NA,2021-06-22,NA,NA,"Базовые материалы","Изготовление металлоконструкций","4"
"🇷🇺 Россия","НОВАТЭК","NVTK","https://t.me/usamarke1/1516",NA,NA,2020-12-07,NA,NA,"Энергетика","Нефтегазовая промышленность","3"
"🇷🇺 Россия","ФосАгро","PHOR","https://t.me/usamarke1/1481",NA,NA,2020-11-30,NA,NA,"Базовые материалы","Сельскохозяйственные материалы","3"
"🇷🇺 Россия","Интер РАО ЕЭС","IRAO","https://t.me/usamarke1/1545",NA,NA,2020-12-13,NA,NA,"Коммунальные услуги","Коммунальные услуги","4"
"🇷🇺 Россия","НМТП","NMTP","https://t.me/usamarke1/1178",NA,NA,2020-09-28,NA,NA,"Промышленность","Транспорт","2"
"🇷🇺 Россия","Акрон","AKRN","https://t.me/usamarke1/2821",NA,NA,2021-09-29,NA,NA,"Базовые материалы","Сельскохозяйственные материалы","3"
"🇷🇺 Россия","Polymetal","POLY","https://t.me/usamarke1/2021",NA,NA,2021-04-06,NA,NA,"Базовые материалы","Оборудование связи","4"
"🇷🇺 Россия","X5 Retail Group","FIVE","https://t.me/usamarke1/1532",NA,NA,2020-12-10,NA,NA,"Консервативный потребительский сектор","Специализированная розничная торговля","4"
"🇷🇺 Россия","Северсталь","CHMF","https://t.me/usamarke1/1981",NA,NA,2021-03-29,NA,NA,"Базовые материалы","Сталь","4"
"🇷🇺 Россия","Segezha Group","SGZH","https://t.me/usamarke1/2108",NA,NA,2021-04-26,NA,NA,"Базовые материалы","Лесное хозяйство","3"
"🇷🇺 Россия","Qiwi","QIWI","https://t.me/usamarke1/1628",NA,NA,2020-12-28,NA,NA,"Финансовый","Кредитные услуги","1"
"🇷🇺 Россия","HeadHunter","HHR","https://t.me/usamarke1/1394",NA,NA,2020-11-11,NA,NA,"Промышленность","Услуги по подбору персонала и трудоустройству","3"
"🇷🇺 Россия","Ozon","OZON","https://t.me/usamarke1/1460",NA,NA,2020-11-25,NA,NA,"Циклический потребительский сектор","Розничная торговля через Интернет","4"
"🇷🇺 Россия","Юнипро","UPRO","https://t.me/usamarke1/1412",NA,NA,2020-11-16,NA,NA,"Коммунальные услуги","Биржевые торгуемые фонды","3"
"🇷🇺 Россия","НЛМК","NLMK","https://t.me/usamarke1/1155",NA,NA,2020-09-22,NA,NA,"Базовые материалы","Сталь","3"
"🇷🇺 Россия","Лента","LNTA","https://t.me/usamarke1/1291",NA,NA,2020-10-23,NA,NA,"Консервативный потребительский сектор","Дисконтные магазины","4"
"🇷🇺 Россия","ВТБ","VTBR","https://t.me/usamarke1/1906",NA,NA,2021-03-11,NA,NA,"Финансовый","Банки - диверсифицированные","2"
"🇷🇺 Россия","Газпром нефть","SIBN","https://t.me/usamarke1/1313",NA,NA,2020-10-27,NA,NA,"Энергетика","Нефтегазовая промышленность","3"
"🇷🇺 Россия","Банк Санкт-Петербург","BSPB","https://t.me/usamarke1/1445",NA,NA,2020-11-23,NA,NA,"Финансовый","Банки - диверсифицированные","3"
"🇷🇺 Россия","ГК Самолет","SMLT","https://t.me/usamarke1/1343",NA,NA,2020-11-02,NA,NA,"Циклический потребительский сектор","Жилищное строительство","3"
"🇷🇺 Россия","Яндекс","YNDX","https://t.me/usamarke1/1494",NA,NA,2020-12-02,NA,NA,"Коммуникационные услуги","Интернет-контент и информация","4"
"🇷🇺 Россия","Белуга Групп","BELU","https://t.me/usamarke1/1380",NA,NA,2020-11-09,NA,NA,"Консервативный потребительский сектор","Напитки - алкогольные","4"
"🇷🇺 Россия","Окей","OKEY","https://t.me/usamarke1/1598",NA,NA,2020-12-22,NA,NA,"Консервативный потребительский сектор","Дисконтные магазины","2"
"🇷🇺 Россия","Veon","VEON","https://t.me/usamarke1/1275",NA,NA,2020-10-20,NA,NA,"Коммуникационные услуги","Телекоммуникационные услуги","1"
"🇺🇸 США","American Public Education","APEI","https://t.me/usamarke1/2369",NA,NA,2021-06-25,NA,NA,"Консервативный потребительский сектор","Услуги в области образования и обучения","2"
"🇺🇸 США","American Tower","AMT","https://t.me/usamarke1/1350",NA,NA,2020-11-03,NA,NA,"Недвижимость","Специализация","4"
"🇺🇸 США","AmerisourceBergen","ABC","https://t.me/usamarke1/1013",NA,NA,2020-08-24,NA,NA,"Здравоохранение","Медицинская дистрибуция","4"
"🇺🇸 США","Amgen","AMGN","https://t.me/usamarke1/2365",NA,NA,2021-06-24,NA,NA,"Здравоохранение","Производители лекарств - общие","4"
"🇺🇸 США","Alteryx","AYX","https://t.me/usamarke1/1883 ",NA,NA,2021-03-05,NA,NA,"Технологии","Программное обеспечение - приложения","3"
"🇺🇸 США","Anthem","ANTM","https://t.me/usamarke1/2321",NA,NA,2021-06-15,NA,NA,"Здравоохранение","Планы здравоохранения","4"
"🇺🇸 США","AppHarvest","APPH","https://t.me/usamarke1/2319",NA,"https://t.me/usamarke1/2319",2021-06-15,NA,2021-06-15,"Консервативный потребительский сектор","Фермерские продукты","New"
"🇺🇸 США","Apple","AAPL","https://t.me/usamarke1/1237",NA,NA,2020-10-12,NA,NA,"Технологии","Потребительская электроника","4"
"🇺🇸 США","Applied Materials","AMAT","https://t.me/usamarke1/1112","https://t.me/usamarke1/1112",NA,2020-09-10,2020-09-10,NA,"Технологии","Полупроводниковое оборудование и материалы","5"
"🇺🇸 США","Applied Molecular Transport","AMTI","https://t.me/usamarke1/2314",NA,"https://t.me/usamarke1/2314",2021-06-14,NA,2021-06-14,"Здравоохранение","Биотехнологии","New"
"🇺🇸 США","AppLovin Corp.","APP","https://t.me/usamarke1/2453",NA,"https://t.me/usamarke1/2453",2021-07-13,NA,2021-07-13,"Технологии","Программное обеспечение - приложения","New"
"🇺🇸 США","Arcturus","ARCT","https://t.me/usamarke1/1712","https://t.me/usamarke1/2607",NA,2021-01-22,2021-08-13,NA,"Здравоохранение","Биотехнологии","4"
"🇺🇸 США","Arista","ANET","https://t.me/usamarke1/546","https://t.me/usamarke1/546",NA,2020-06-10,2020-06-10,NA,"Технологии","Компьютерное оборудование","5"
"🇺🇸 США","Aspira Womens's Health","AWH","https://t.me/usamarke1/2319",NA,"https://t.me/usamarke1/2319",2021-06-15,NA,2021-06-15,"Здравоохранение","Диагностика и исследования","New"
"🇺🇸 США","AstraZeneca","AZN","https://t.me/usamarke1/2625",NA,"https://t.me/usamarke1/2692",2021-08-18,NA,2021-09-02,"Здравоохранение","Производители лекарств - общие","5"
"🇺🇸 США","AT&T","T","https://t.me/usamarke1/2580",NA,NA,2021-08-08,NA,NA,"Коммуникационные услуги","Телекоммуникационные услуги","2"
"🇺🇸 США","Atara Biotherapeutics","ATRA","https://t.me/usamarke1/2284",NA,NA,2021-06-07,NA,NA,"Здравоохранение","Биотехнологии","3"
"🇺🇸 США","Autodesk","ADSK","https://t.me/usamarke1/1034",NA,NA,2020-08-28,NA,NA,"Технологии","Программное обеспечение - приложения","3"
"🇺🇸 США","Autodesk","ADSK","https://t.me/usamarke1/2774",NA,NA,2021-09-20,NA,NA,"Технологии","Программное обеспечение - приложения","3"
"🇺🇸 США","Avalara","AVLR","https://t.me/usamarke1/1791",NA,NA,2021-02-12,NA,NA,"Технологии","Программное обеспечение - приложения","4"
"🇺🇸 США","Axos Financial","AX","https://t.me/usamarke1/1473",NA,NA,2020-11-27,NA,NA,"Финансовый","Банки - региональные","4"
"🇺🇸 США","Axsome Therapeutics","AXSM","https://t.me/usamarke1/2168","https://t.me/usamarke1/2168",NA,2021-05-11,2021-05-11,NA,"Здравоохранение","Биотехнологии","4"
"🇺🇸 США","IBM","IBM","https://t.me/usamarke1/2620",NA,NA,2021-08-17,NA,NA,"Технологии","Услуги в области информационных технологий","2"
"🇺🇸 США","Bank of America","BAC","https://t.me/usamarke1/1554",NA,NA,2020-12-15,NA,NA,"Финансовый","Банки - диверсифицированные","3"
"🇺🇸 США","II-VI","IIVI","https://t.me/usamarke1/1862 ","https://t.me/usamarke1/1959",NA,2021-03-01,2021-03-24,NA,"Технологии","Научные и технические приборы","4"
"🇺🇸 США","IIPR","IIPR","https://t.me/usamarke1/1613",NA,NA,2020-12-24,NA,NA,"Недвижимость","Промышленность","4"
"🇺🇸 США","Illumina","ILMN","https://t.me/usamarke1/1730",NA,NA,2021-01-28,NA,NA,"Здравоохранение","Диагностика и исследования","4"
"🇺🇸 США","Beyond Meat","BYND","https://t.me/usamarke1/2762",NA,NA,2021-09-16,NA,NA,"Консервативный потребительский сектор","Упакованные продукты питания","3"
"🇺🇸 США","Rhythm Pharmaceuticals","RYTM","https://t.me/usamarke1/1661",NA,NA,2021-01-08,NA,NA,"Здравоохранение","Биотехнологии","3"
"🇺🇸 США","Bill.com Holdings","BILL","https://t.me/usamarke1/1727",NA,NA,2021-01-27,NA,NA,"Технологии","Программное обеспечение - приложения","4"
"🇺🇸 США","Biogen","BIIB","https://t.me/usamarke1/1193",NA,NA,2020-10-01,NA,NA,"Здравоохранение","Производители лекарств - общие","3"
"🇺🇸 США","Biomarin Pharmaceuticals","BMRN","https://t.me/usamarke1/1130",NA,NA,2020-09-15,NA,NA,"Здравоохранение","Биотехнологии","4"
"🇺🇸 США","Bionano Genomics","BNGO","https://t.me/usamarke1/2324",NA,"https://t.me/usamarke1/2324",2021-06-16,NA,2021-06-16,"Здравоохранение","Диагностика и исследования","New"
"🇺🇸 США","BioXcel Therapeutics","BTAI","https://t.me/usamarke1/2401",NA,NA,2021-07-02,NA,NA,"Здравоохранение","Биотехнологии","4"
"🇺🇸 США","BlackRock","BLK","https://t.me/usamarke1/2511",NA,NA,2021-07-26,NA,NA,"Финансовый","Управление активами","5"
"🇺🇸 США","Blink Charging Co.","BLNK","https://t.me/usamarke1/2324",NA,"https://t.me/usamarke1/2324",2021-06-16,NA,2021-06-16,"Циклический потребительский сектор","Специализированная розничная торговля","New"
"🇺🇸 США","Ionis Pharmaceuticals","IONS","https://t.me/usamarke1/1047",NA,NA,2020-08-31,NA,NA,"Здравоохранение","Биотехнологии","3"
"🇺🇸 США","Boeing","BA","https://t.me/usamarke1/1126",NA,NA,2020-09-14,NA,NA,"Промышленность","Аэрокосмическая и оборонная промышленность","2"
"🇺🇸 США","Boston Scientific","BSX","https://t.me/usamarke1/1952",NA,NA,2021-03-22,NA,NA,"Здравоохранение","Медицинские приборы","3"
"🇺🇸 США","Bristol-Myers Squibb","BMY","https://t.me/usamarke1/2416",NA,NA,2021-07-06,NA,NA,"Здравоохранение","Производители лекарств - общие","4"
"🇺🇸 США","Broadcom","AVGO","https://t.me/usamarke1/1956",NA,NA,2021-03-23,NA,NA,"Технологии","Полупроводники","4"
"🇺🇸 США","Burlington Stores","BURL","https://t.me/usamarke1/1096",NA,NA,2020-09-08,NA,NA,"Циклический потребительский сектор","Розничная торговля одеждой","3"
"🇺🇸 США","JP Morgan Chase","JPM","https://t.me/usamarke1/2142",NA,NA,2021-05-05,NA,NA,"Финансовый","Банки - диверсифицированные","5"
"🇺🇸 США","KB Home","KBH","https://t.me/usamarke1/2120",NA,NA,2021-04-28,NA,NA,"Циклический потребительский сектор","Жилищное строительство","4"
"🇺🇸 США","Cara Therapeutics","CARA","https://t.me/usamarke1/2257",NA,NA,2021-05-31,NA,NA,"Здравоохранение","Биотехнологии","4"
"🇺🇸 США","Kopin Corp","KOPN","https://t.me/usamarke1/2357",NA,"https://t.me/usamarke1/2357",2021-06-23,NA,2021-06-23,"Технологии","Электронные компоненты","New"
"🇺🇸 США","CarParts.com","PRTS","https://t.me/usamarke1/2699",NA,"https://t.me/usamarke1/2383",2021-09-03,NA,2021-06-29,"Циклический потребительский сектор","Розничная торговля через Интернет","3"
"🇺🇸 США","Carrier global","CARR","https://t.me/usamarke1/1832",NA,NA,2021-02-22,NA,NA,"Промышленность","Строительные товары и оборудование","3"
"🇺🇸 США","Cassava Sciences","SAVA","https://t.me/usamarke1/2388",NA,"https://t.me/usamarke1/2388",2021-06-30,NA,2021-06-30,"Здравоохранение","Биотехнологии","New"
"🇺🇸 США","Caterpillar","CAT","https://t.me/usamarke1/1329",NA,NA,2020-10-29,NA,NA,"Промышленность","Сельскохозяйственная и тяжелая строительная техника","3"
"🇺🇸 США","CEL-SCI Corp","CVM","https://t.me/usamarke1/2330",NA,"https://t.me/usamarke1/2330",2021-06-17,NA,2021-06-17,"Здравоохранение","Биотехнологии","New"
"🇺🇸 США","Chart Industries","GTLS","https://t.me/usamarke1/1432",NA,NA,2020-11-19,NA,NA,"Промышленность","Специализированное промышленное оборудование","3"
"🇺🇸 США","Lennar","LEN","https://t.me/usamarke1/1141",NA,NA,2020-09-17,NA,NA,"Циклический потребительский сектор","Жилищное строительство","4"
"🇺🇸 США","Chegg","CHGG","https://t.me/usamarke1/1898",NA,NA,2021-03-09,NA,NA,"Циклический потребительский сектор","Услуги в области образования и обучения","2"
"🇺🇸 США","ChemoCentryx","CCXI","https://t.me/usamarke1/2487",NA,NA,2021-07-21,NA,NA,"Здравоохранение","Биотехнологии","3"
"🇺🇸 США","Chevron","CVX","https://t.me/usamarke1/2755",NA,NA,2021-09-15,NA,NA,"Энергетика","Нефтегазовая промышленность","3"
"🇺🇸 США","Chewy","CHWY","https://t.me/usamarke1/2055",NA,NA,2021-04-13,NA,NA,"Циклический потребительский сектор","Розничная торговля через Интернет","4"
"🇺🇸 США","Chipotle Mexican","CMG","https://t.me/usamarke1/1966",NA,NA,2021-03-25,NA,NA,"Циклический потребительский сектор","Рестораны","3"
"🇺🇸 США","Cisco","CSCO","https://t.me/usamarke1/779","https://t.me/usamarke1/779",NA,2020-07-14,2020-07-14,NA,"Технологии","Оборудование связи","4"
"🇺🇸 США","Citigroup","C","https://t.me/usamarke1/2788",NA,NA,2021-09-22,NA,NA,"Финансовый","Банки - диверсифицированные","2"
"🇺🇸 США","CleanSpark","CLSK","https://t.me/usamarke1/2330",NA,"https://t.me/usamarke1/2330",2021-06-17,NA,2021-06-17,"Технологии","Программное обеспечение - инфраструктура","New"
"🇺🇸 США","Clorox","CLX","https://t.me/usamarke1/1430",NA,NA,2020-11-19,NA,NA,"Консервативный потребительский сектор","Бытовые и личные товары","3"
"🇺🇸 США","Clover Health Investments","CLOV","https://t.me/usamarke1/2324",NA,"https://t.me/usamarke1/2324",2021-06-16,NA,2021-06-16,"Здравоохранение","Планы здравоохранения","New"
"🇺🇸 США","Coca-Cola","KO","https://t.me/usamarke1/1471",NA,NA,2020-11-27,NA,NA,"Консервативный потребительский сектор","Напитки - безалкогольные","2"
"🇺🇸 США","Coinbase","COIN","https://t.me/usamarke1/2251",NA,NA,2021-05-29,NA,NA,"Технологии","Программное обеспечение - приложения","2"
"🇺🇸 США","Comcast","CMCSA","https://t.me/usamarke1/1203",NA,NA,2020-10-04,NA,NA,"Коммуникационные услуги","Развлечения","2"
"🇺🇸 США","ContextLogic","WISH","https://t.me/usamarke1/1852","https://t.me/usamarke1/1852",NA,2021-02-26,2021-02-26,NA,"Циклический потребительский сектор","Розничная торговля через Интернет","3"
"🇺🇸 США","Corcept Therapeutics","CORT","https://t.me/usamarke1/2380",NA,NA,2021-06-28,NA,NA,"Здравоохранение","Биотехнологии","3"
"🇺🇸 США","Corning","GLW","https://t.me/usamarke1/2277",NA,NA,2021-06-04,NA,NA,"Технологии","Электронные компоненты","4"
"🇺🇸 США","Corsair Gaming","CRSR","https://t.me/usamarke1/2813",NA,"https://t.me/usamarke1/2655",2021-09-27,NA,2021-08-25,"Технологии","Компьютерное оборудование","4"
"🇺🇸 США","CoStar Group","CSGP","https://t.me/usamarke1/2750",NA,NA,2021-09-14,NA,NA,"Недвижимость","Услуги в сфере недвижимости","4"
"🇺🇸 США","Costco","COST","https://t.me/usamarke1/1171",NA,NA,2020-09-25,NA,NA,"Консервативный потребительский сектор","Дисконтные магазины","4"
